epoch,accuracy,loss,val_accuracy,val_loss
0,55.05661712668082,0.2520622963168819,66.06957424714435,0.3206228524363961
1,78.22363765038924,0.18881171950721098,87.22741433021807,0.15202658155659976
2,88.48549186128804,0.1292060076620928,89.8840429214261,0.13065092062304237
3,90.42462845010616,0.1116799241384018,91.22533748701973,0.1268574120649309
4,91.7445152158528,0.10135794750718638,90.99169262720665,0.10459980780730077
5,92.35314932767162,0.09348320747697324,92.09934233298719,0.11731844598481674
6,92.965322009908,0.08792346097787306,92.41086881273797,0.09231461559705353
7,93.47487615003539,0.08306482308725474,91.02630668051229,0.10136837577995976
8,93.48903043170559,0.0803814583604988,91.08688127379716,0.09922958592770588
9,93.83934890304317,0.0770665576449488,90.57632398753894,0.09981051335543759
10,94.08351026185422,0.07403469935543334,91.87435098650052,0.09525067257721667
11,94.15782024062278,0.07197282243723027,91.38975424022154,0.09397453925493134
12,94.47275300778486,0.06997751750490942,91.8483904465213,0.09145232662559563
13,94.52229299363057,0.06759098869710845,93.06853582554517,0.09187953622810621
